suicides100kpop,age,sex,HDI for year,gdp_per_capita ($)
18.79,15,0,0.77,3929
11.78,35,1,0.77,3929
11.21,55,1,0.77,3929
7.93,75,1,0.77,3929
7.47,25,1,0.77,3929
4.44,15,1,0.77,3929
0.75,5,1,0.77,3929
0.36,5,0,0.77,3929
40.61,35,0,0.74,3937
35.4,55,0,0.74,3937
32.45,75,0,0.74,3937
26.39,25,0,0.74,3937
16.54,15,0,0.74,3937
7.98,55,1,0.74,3937
7.4,35,1,0.74,3937
6.4,75,1,0.74,3937
3.51,25,1,0.74,3937
2.97,15,1,0.74,3937
1.86,5,0,0.74,3937
0.19,5,1,0.74,3937
7.42,15,0,0.626,3947
6.98,35,0,0.626,3947
6.63,25,0,0.626,3947
6.13,55,0,0.626,3947
4.74,75,0,0.626,3947
4.45,15,1,0.626,3947
2.08,25,1,0.626,3947
0.85,35,1,0.626,3947
0.52,5,1,0.626,3947
0.49,55,1,0.626,3947
0.4,5,0,0.626,3947
0,75,1,0.626,3947
11.94,75,0,0.731,3957
6.31,75,1,0.731,3957
5.04,55,0,0.731,3957
3.92,55,1,0.731,3957
3.59,25,0,0.731,3957
3.51,35,0,0.731,3957
1.42,35,1,0.731,3957
0.82,15,0,0.731,3957
0.52,5,0,0.731,3957
0.41,15,1,0.731,3957
0,25,1,0.731,3957
0,5,1,0.731,3957
62.77,75,0,0.683,3960
27.23,55,0,0.683,3960
20.48,25,0,0.683,3960
20.19,35,0,0.683,3960
11.83,15,0,0.683,3960
10.3,35,1,0.683,3960
8,15,1,0.683,3960
1.2,75,1,0.651,3960
1.04,55,0,0.651,3960
0.59,25,0,0.651,3960
0.57,75,0,0.651,3960
0.54,15,0,0.651,3960
0.51,35,0,0.651,3960
0.16,35,1,0.651,3960
0.14,25,1,0.651,3960
0.11,55,1,0.651,3960
0.09,15,1,0.651,3960
0,25,1,0.683,3960
0,5,1,0.683,3960
0,55,1,0.683,3960
0,75,1,0.683,3960
0,5,0,0.683,3960
0,5,1,0.651,3960
0,5,0,0.651,3960
21.59,75,0,0.666,3965
18.55,25,0,0.666,3965
14.49,35,0,0.666,3965
14.25,55,0,0.666,3965
8.03,15,0,0.666,3965
7.84,75,1,0.666,3965
5.05,15,1,0.666,3965
4.79,25,1,0.666,3965
3.56,35,1,0.666,3965
2.7,55,1,0.666,3965
0.67,5,1,0.666,3965
0.32,5,0,0.666,3965
177.61,75,0,0.714,3970
89.24,35,0,0.714,3970
87.02,55,0,0.714,3970
60.74,75,1,0.714,3970
55.88,25,0,0.714,3970
32.9,55,1,0.714,3970
25.09,15,0,0.714,3970
23.07,35,1,0.714,3970
11.41,25,1,0.714,3970
5.73,15,1,0.714,3970
1.27,5,0,0.714,3970
0.3,5,1,0.714,3970
19.07,75,0,0.692,3984
11.59,55,0,0.692,3984
10.26,35,0,0.692,3984
9.79,25,0,0.692,3984
7.06,15,0,0.692,3984
2.63,35,1,0.692,3984
2.37,55,1,0.692,3984
2.29,75,1,0.692,3984
2.28,15,1,0.692,3984
2.27,25,1,0.692,3984
0.34,5,1,0.692,3984
0.27,5,0,0.692,3984
15.57,75,0,0.697,3992
12.88,25,0,0.697,3992
10.82,35,0,0.697,3992
9.42,55,0,0.697,3992
8.13,15,0,0.697,3992
3.32,75,1,0.697,3992
1.83,15,1,0.697,3992
1.68,55,1,0.697,3992
1.31,25,1,0.697,3992
1.08,35,1,0.697,3992
0.34,5,1,0.697,3992
0,5,0,0.697,3992
60.05,75,0,0.749,4003
33.3,55,0,0.749,4003
21.41,75,1,0.749,4003
20.02,35,0,0.749,4003
13.02,25,0,0.749,4003
8.59,55,1,0.749,4003
7.21,15,0,0.749,4003
5.16,35,1,0.749,4003
3.89,15,1,0.749,4003
3.75,25,1,0.749,4003
0.85,5,1,0.749,4003
0.81,5,0,0.749,4003
41.7,75,0,0.716,4006
16.95,55,0,0.716,4006
12.39,35,0,0.716,4006
12.37,25,0,0.716,4006
9.54,15,0,0.716,4006
2.89,35,1,0.716,4006
2.3,55,1,0.716,4006
2.15,15,1,0.716,4006
1.99,25,1,0.716,4006
0.67,5,0,0.716,4006
0.23,5,1,0.716,4006
0,75,1,0.716,4006
45.49,25,0,0.692,4009
35.14,55,0,0.692,4009
31.46,35,0,0.692,4009
26.63,15,0,0.692,4009
22.95,75,0,0.692,4009
17.72,75,1,0.692,4009
10.36,25,1,0.692,4009
7.61,55,1,0.692,4009
4.6,15,1,0.692,4009
3.81,5,0,0.692,4009
3.39,35,1,0.692,4009
2.01,5,1,0.692,4009
61.46,75,0,0.643,4013
34.12,25,0,0.643,4013
19.18,15,0,0.643,4013
14.47,35,0,0.643,4013
13.64,55,0,0.643,4013
4.94,25,1,0.643,4013
3.89,15,1,0.643,4013
0.7,35,0,0.677,4013
0,15,1,0.677,4013
0,25,1,0.677,4013
0,35,1,0.677,4013
0,5,1,0.677,4013
0,55,1,0.677,4013
0,75,1,0.677,4013
0,15,0,0.677,4013
0,25,0,0.677,4013
0,5,0,0.677,4013
0,55,0,0.677,4013
0,75,0,0.677,4013
0,35,1,0.643,4013
0,5,1,0.643,4013
0,55,1,0.643,4013
0,75,1,0.643,4013
0,5,0,0.643,4013
10.03,25,0,0.69,4015
9.53,25,1,0.69,4015
7.36,15,0,0.69,4015
0,15,1,0.69,4015
0,35,1,0.69,4015
0,5,1,0.69,4015
0,55,1,0.69,4015
0,75,1,0.69,4015
0,35,0,0.69,4015
0,5,0,0.69,4015
0,55,0,0.69,4015
0,75,0,0.69,4015
84.34,75,0,0.73,4017
31.49,55,0,0.73,4017
21.9,35,0,0.73,4017
16.15,75,1,0.73,4017
15.42,25,0,0.73,4017
13.26,55,1,0.73,4017
6.97,15,0,0.73,4017
6.49,35,1,0.73,4017
4.66,15,1,0.73,4017
3.96,25,1,0.73,4017
0.89,5,0,0.73,4017
0.41,5,1,0.73,4017
2.75,5,0,0.638,4026
0,15,1,0.638,4026
0,25,1,0.638,4026
0,35,1,0.638,4026
0,5,1,0.638,4026
0,55,1,0.638,4026
0,75,1,0.638,4026
0,15,0,0.638,4026
0,25,0,0.638,4026
0,35,0,0.638,4026
0,55,0,0.638,4026
0,75,0,0.638,4026
48.5,75,0,0.771,4036
37.63,35,0,0.771,4036
36.2,55,0,0.771,4036
21.94,25,0,0.771,4036
14.64,15,0,0.771,4036
7.36,75,1,0.771,4036
6.96,35,1,0.771,4036
5.79,55,1,0.771,4036
2.76,15,1,0.771,4036
2.12,25,1,0.771,4036
0.9,5,0,0.771,4036
0.24,5,1,0.771,4036
30.82,75,0,0.79,4046
21.57,75,0,0.705,4046
18.2,25,0,0.705,4046
15.86,35,0,0.705,4046
14.22,55,0,0.705,4046
12.22,15,0,0.705,4046
12.03,75,1,0.79,4046
10.62,55,0,0.79,4046
9.58,35,0,0.79,4046
6.99,25,0,0.79,4046
6.86,15,0,0.79,4046
3.09,55,1,0.79,4046
2.65,25,1,0.705,4046
2.36,75,1,0.705,4046
1.84,25,1,0.79,4046
1.8,15,1,0.705,4046
1.55,35,1,0.79,4046
1.17,35,1,0.705,4046
0.97,5,0,0.705,4046
0.87,15,1,0.79,4046
0.56,55,1,0.705,4046
0.51,5,1,0.705,4046
0.43,5,0,0.79,4046
0,5,1,0.79,4046
35.64,25,0,0.667,4063
30.52,35,0,0.667,4063
21.7,55,0,0.667,4063
18.9,15,0,0.667,4063
17.35,25,1,0.667,4063
14.56,15,1,0.667,4063
7.04,75,1,0.667,4063
5.38,35,1,0.667,4063
2.02,5,0,0.667,4063
1.66,55,1,0.667,4063
0,5,1,0.667,4063
0,75,0,0.667,4063
40.8,35,0,0.667,4066
40.71,25,0,0.667,4066
25.76,55,0,0.667,4066
21,15,0,0.667,4066
8.58,15,1,0.667,4066
7.14,75,0,0.667,4066
6.08,25,1,0.667,4066
5.2,55,1,0.667,4066
4.75,35,1,0.667,4066
1.51,5,1,0.667,4066
0,75,1,0.667,4066
0,5,0,0.667,4066
25.94,35,0,0.674,4087
18.17,15,0,0.674,4087
0,15,1,0.674,4087
0,25,1,0.674,4087
0,35,1,0.674,4087
0,5,1,0.674,4087
0,55,1,0.674,4087
0,75,1,0.674,4087
0,25,0,0.674,4087
0,5,0,0.674,4087
0,55,0,0.674,4087
0,75,0,0.674,4087
21.46,75,0,0.698,4095
12.32,15,0,0.698,4095
11.68,25,0,0.698,4095
10.96,55,0,0.698,4095
8.61,35,0,0.698,4095
4.77,15,1,0.698,4095
2.69,25,1,0.698,4095
1.6,35,1,0.698,4095
1.48,55,1,0.698,4095
1.08,5,0,0.698,4095
0.98,5,1,0.698,4095
0.78,75,1,0.698,4095
73.91,25,0,0.746,4096
67.18,75,0,0.743,4096
64.69,35,0,0.746,4096
56.13,55,0,0.746,4096
54.26,75,0,0.746,4096
45.56,55,0,0.743,4096
43.4,35,0,0.743,4096
42.13,15,0,0.746,4096
39.27,25,0,0.743,4096
28.3,15,0,0.743,4096
19.3,75,1,0.746,4096
16.28,75,1,0.743,4096
10.6,25,1,0.746,4096
10.45,15,1,0.746,4096
9.79,55,1,0.746,4096
8.95,55,1,0.743,4096
8.44,35,1,0.746,4096
7.22,35,1,0.743,4096
6.13,5,0,0.746,4096
5.16,25,1,0.743,4096
4.47,15,1,0.743,4096
1.97,5,1,0.746,4096
1.67,5,0,0.743,4096
1.01,5,1,0.743,4096
25.79,75,0,0.694,4104
8.71,35,0,0.694,4104
4.89,25,1,0.694,4104
4.69,25,0,0.694,4104
2.64,15,1,0.694,4104
2.61,55,0,0.694,4104
2.5,15,0,0.694,4104
1,35,1,0.694,4104
0,5,1,0.694,4104
0,55,1,0.694,4104
0,75,1,0.694,4104
0,5,0,0.694,4104
36.76,35,0,0.647,4115
33.43,25,0,0.647,4115
27.78,75,0,0.647,4115
26.05,55,0,0.647,4115
17.92,35,0,0.708,4115
17.16,25,0,0.708,4115
15.84,15,0,0.647,4115
15.35,55,0,0.708,4115
14.72,75,0,0.708,4115
12.94,15,0,0.708,4115
11.24,15,1,0.647,4115
10.38,55,1,0.647,4115
7.81,75,1,0.647,4115
6.04,35,1,0.647,4115
4.18,25,1,0.647,4115
2.32,15,1,0.708,4115
2.12,5,1,0.647,4115
1.98,25,1,0.708,4115
1.34,35,1,0.708,4115
1.08,55,1,0.708,4115
1.02,5,0,0.647,4115
0.25,5,1,0.708,4115
0,75,1,0.708,4115
0,5,0,0.708,4115
177.57,75,0,0.722,4116
83.13,55,0,0.722,4116
82.49,35,0,0.722,4116
59.08,75,1,0.722,4116
50.13,25,0,0.722,4116
29.81,55,1,0.722,4116
21.26,35,1,0.722,4116
19.24,15,0,0.722,4116
9.87,25,1,0.722,4116
5.53,15,1,0.722,4116
1.02,5,0,0.722,4116
0.15,5,1,0.722,4116
41.92,25,0,0.674,4117
36.47,35,0,0.674,4117
34.48,75,0,0.674,4117
18.44,25,1,0.674,4117
17.49,15,1,0.674,4117
12.31,15,0,0.674,4117
11.03,35,1,0.674,4117
9.65,55,0,0.674,4117
3.25,55,1,0.674,4117
1,5,0,0.674,4117
0,5,1,0.674,4117
0,75,1,0.674,4117
0.74,55,0,0.687,4119
0,15,1,0.687,4119
0,25,1,0.687,4119
0,35,1,0.687,4119
0,5,1,0.687,4119
0,55,1,0.687,4119
0,75,1,0.687,4119
0,15,0,0.687,4119
0,25,0,0.687,4119
0,35,0,0.687,4119
0,5,0,0.687,4119
0,75,0,0.687,4119
40.37,75,0,0.653,4124
38.24,35,0,0.653,4124
18.62,25,0,0.653,4124
10.06,55,1,0.653,4124
8.71,15,0,0.653,4124
6.74,55,0,0.653,4124
5.24,5,0,0.653,4124
4.08,35,1,0.653,4124
1.78,15,1,0.653,4124
0,25,1,0.653,4124
0,5,1,0.653,4124
0,75,1,0.653,4124
1.89,75,0,0.629,4132
1.56,25,0,0.629,4132
1.22,35,0,0.629,4132
1.21,75,1,0.629,4132
1.01,15,0,0.629,4132
0.92,55,0,0.629,4132
0.43,15,1,0.629,4132
0.33,35,1,0.629,4132
0.3,25,1,0.629,4132
0.23,55,1,0.629,4132
0.08,5,0,0.629,4132
0.06,5,1,0.629,4132
27.68,35,0,0.66,4139
27,25,0,0.66,4139
25.64,75,0,0.66,4139
21.74,55,0,0.66,4139
20.04,15,0,0.66,4139
5.89,15,1,0.66,4139
5.06,55,1,0.66,4139
4.25,25,1,0.66,4139
4.19,35,1,0.66,4139
1.06,5,1,0.66,4139
1.02,5,0,0.66,4139
0,75,1,0.66,4139
14.97,75,0,0.733,4142
6.12,75,1,0.733,4142
5.35,55,0,0.733,4142
3.58,35,0,0.733,4142
2.37,25,0,0.733,4142
1.38,55,1,0.733,4142
1.3,15,0,0.733,4142
0.88,15,1,0.733,4142
0.58,5,1,0.733,4142
0.48,35,1,0.733,4142
0,25,1,0.733,4142
0,5,0,0.733,4142
43.69,25,0,0.733,4145
33.81,35,0,0.733,4145
33.62,15,0,0.733,4145
25.54,55,0,0.733,4145
19.55,75,0,0.733,4145
11.4,75,1,0.733,4145
7.29,15,1,0.733,4145
5.13,25,1,0.733,4145
3.69,35,1,0.733,4145
0.67,55,1,0.733,4145
19.95,75,0,0.683,4156
12.02,55,0,0.683,4156
10.16,35,0,0.683,4156
8.51,25,0,0.683,4156
5.93,15,0,0.683,4156
2.57,75,1,0.683,4156
2.51,55,1,0.683,4156
2.21,35,1,0.683,4156
2.01,15,1,0.683,4156
1.88,25,1,0.683,4156
0.25,5,1,0.683,4156
0.23,5,0,0.683,4156
27.6,35,0,0.652,4161
13.66,55,0,0.652,4161
9.35,35,1,0.652,4161
7.58,15,1,0.652,4161
4.68,25,0,0.652,4161
3.74,15,0,0.652,4161
3.01,5,1,0.652,4161
0,25,1,0.652,4161
0,55,1,0.652,4161
0,75,1,0.652,4161
0,5,0,0.652,4161
0,75,0,0.652,4161
110.49,75,0,0.761,4168
48.08,55,0,0.761,4168
40.16,35,0,0.761,4168
35.37,75,1,0.761,4168
24.65,25,0,0.761,4168
19.27,55,1,0.761,4168
12.64,15,0,0.761,4168
10.51,35,1,0.761,4168
7.75,25,1,0.761,4168
4.55,15,1,0.761,4168
0.62,5,0,0.761,4168
0.13,5,1,0.761,4168
3.98,75,0,0.706,4172
2.1,55,0,0.706,4172
1.31,35,0,0.706,4172
1.23,25,0,0.706,4172
0.85,75,1,0.706,4172
0.57,15,1,0.706,4172
0.56,5,0,0.706,4172
0.39,35,1,0.706,4172
0.33,15,0,0.706,4172
0.29,25,1,0.706,4172
0.22,55,1,0.706,4172
0,5,1,0.706,4172
101.77,75,0,0.751,4186
43.33,55,0,0.751,4186
40.22,35,0,0.751,4186
34.12,75,1,0.751,4186
23.31,25,0,0.751,4186
16.4,15,0,0.751,4186
14.77,55,1,0.751,4186
10.73,35,1,0.751,4186
7.01,25,1,0.751,4186
4.32,15,1,0.751,4186
1.66,5,0,0.751,4186
0,5,1,0.751,4186
59.28,75,0,0.691,4194
19.31,25,0,0.691,4194
18.17,35,0,0.691,4194
7.33,15,0,0.691,4194
0,15,1,0.691,4194
0,25,1,0.691,4194
0,35,1,0.691,4194
0,5,1,0.691,4194
0,55,1,0.691,4194
0,75,1,0.691,4194
0,5,0,0.691,4194
0,55,0,0.691,4194
14.59,75,0,0.664,4204
8.57,55,0,0.664,4204
6.52,25,0,0.664,4204
6.23,35,0,0.664,4204
5.79,15,0,0.664,4204
1.2,75,1,0.664,4204
1.19,15,1,0.664,4204
1.08,25,1,0.664,4204
1.03,35,1,0.664,4204
0.88,55,1,0.664,4204
0.43,5,0,0.664,4204
0.18,5,1,0.664,4204
6.63,15,1,0.705,4206
6.1,25,0,0.705,4206
5.8,35,0,0.705,4206
5.01,15,0,0.705,4206
2.56,5,1,0.705,4206
2.47,55,1,0.705,4206
1.2,5,0,0.705,4206
1,35,1,0.705,4206
0,25,1,0.705,4206
0,75,1,0.705,4206
0,55,0,0.705,4206
0,75,0,0.705,4206
8.14,35,0,0.627,4210
7.49,55,0,0.627,4210
7.08,25,0,0.627,4210
6.77,15,0,0.627,4210
5.36,75,0,0.627,4210
5.07,15,1,0.627,4210
2.5,25,1,0.627,4210
1.27,55,1,0.627,4210
1.22,35,1,0.627,4210
0.68,5,1,0.627,4210
0.3,5,0,0.627,4210
0,75,1,0.627,4210
78.05,35,0,0.629,4212
60.12,55,0,0.629,4212
55.83,75,0,0.629,4212
53.36,25,0,0.629,4212
40.24,15,0,0.629,4212
20.4,25,1,0.629,4212
20.33,35,1,0.629,4212
19.25,15,1,0.629,4212
13.07,55,1,0.629,4212
4.8,5,0,0.629,4212
2.53,5,1,0.629,4212
0,75,1,0.629,4212
18.84,25,0,0.703,4227
18.62,75,0,0.703,4227
12.87,35,0,0.703,4227
9.96,55,0,0.703,4227
8.4,15,0,0.703,4227
6.39,75,1,0.703,4227
2.9,15,1,0.703,4227
2.42,35,1,0.703,4227
1.62,55,1,0.703,4227
0.85,25,1,0.703,4227
0.32,5,0,0.703,4227
0,5,1,0.703,4227
16.89,75,0,0.704,4233
16.62,35,0,0.704,4233
16.41,25,0,0.704,4233
14.46,15,0,0.704,4233
13.07,55,0,0.704,4233
3.6,25,1,0.704,4233
2.15,75,1,0.704,4233
1.97,15,1,0.704,4233
1.56,55,1,0.704,4233
1.07,35,1,0.704,4233
0.25,5,1,0.704,4233
0.24,5,0,0.704,4233
22.57,25,0,0.69,4244
21.97,55,0,0.69,4244
19.83,35,0,0.69,4244
12.86,15,1,0.69,4244
9.6,75,0,0.69,4244
7.88,35,1,0.69,4244
7.83,15,0,0.69,4244
6.21,55,1,0.69,4244
5.75,75,1,0.69,4244
5.35,25,1,0.69,4244
1.01,5,1,0.69,4244
0.98,5,0,0.69,4244
104.02,55,0,0.764,4250
94.22,35,0,0.764,4250
60.96,75,0,0.764,4250
60,25,0,0.764,4250
36.28,15,0,0.764,4250
26.33,75,1,0.764,4250
16.22,35,1,0.764,4250
14.14,55,1,0.764,4250
5.21,15,1,0.764,4250
4.85,5,0,0.764,4250
4.27,25,1,0.764,4250
1.02,5,1,0.764,4250
36.57,55,0,0.67,4254
31.22,25,0,0.67,4254
23.51,35,0,0.67,4254
21.13,75,0,0.67,4254
15.81,15,0,0.67,4254
10.14,25,1,0.67,4254
9.29,15,1,0.67,4254
5.35,35,1,0.67,4254
5.08,55,1,0.67,4254
1.3,5,0,0.67,4254
0,5,1,0.67,4254
0,75,1,0.67,4254
98.62,75,0,0.78,4262
73.13,35,0,0.78,4262
55.89,55,0,0.78,4262
39,25,0,0.78,4262
29.12,15,0,0.78,4262
21.87,55,1,0.78,4262
17.34,75,1,0.78,4262
11.51,25,1,0.78,4262
10.85,35,1,0.78,4262
6.18,15,1,0.78,4262
1.13,5,1,0.78,4262
0,5,0,0.78,4262
13.68,55,0,0.66,4289
13.63,25,0,0.66,4289
8.74,35,0,0.66,4289
7.39,15,1,0.66,4289
4.6,25,1,0.66,4289
4.44,35,1,0.66,4289
3.64,15,0,0.66,4289
2.88,5,0,0.66,4289
0,5,1,0.66,4289
0,55,1,0.66,4289
0,75,1,0.66,4289
0,75,0,0.66,4289
75.54,35,0,0.778,4311
72.57,75,0,0.778,4311
71.1,55,0,0.778,4311
44.77,25,0,0.778,4311
30.22,15,0,0.778,4311
25.15,75,1,0.778,4311
19.91,55,1,0.778,4311
12.77,35,1,0.778,4311
8.83,25,1,0.778,4311
4.13,15,1,0.778,4311
2.77,5,0,0.778,4311
0,5,1,0.778,4311
88.93,75,0,0.761,4312
83.79,35,0,0.761,4312
77.73,55,0,0.761,4312
76.04,25,0,0.761,4312
47.41,15,0,0.761,4312
26.03,75,1,0.761,4312
13.32,55,1,0.761,4312
11.62,35,1,0.761,4312
9.93,25,1,0.761,4312
8.21,15,1,0.761,4312
3.64,5,0,0.761,4312
0.96,5,1,0.761,4312
11.69,75,0,0.669,4319
9.29,15,0,0.669,4319
7.66,25,0,0.669,4319
7.41,35,0,0.669,4319
6.43,55,0,0.669,4319
6.38,15,1,0.669,4319
4.03,75,1,0.669,4319
3.3,25,1,0.669,4319
2.61,55,1,0.669,4319
1.96,35,1,0.669,4319
1.47,5,0,0.669,4319
1.07,5,1,0.669,4319
29.74,25,0,0.674,4339
24.88,35,0,0.674,4339
24.32,15,0,0.674,4339
24.03,55,0,0.674,4339
10.77,15,1,0.674,4339
10.27,75,0,0.674,4339
9.58,25,1,0.674,4339
5.65,35,1,0.674,4339
1.58,55,1,0.674,4339
0,5,1,0.674,4339
0,75,1,0.674,4339
0,5,0,0.674,4339
103.55,75,0,0.746,4353
47.24,55,0,0.746,4353
41.11,75,1,0.746,4353
29.98,35,0,0.746,4353
18.11,25,0,0.746,4353
17.4,55,1,0.746,4353
10.58,15,0,0.746,4353
9.67,35,1,0.746,4353
4.96,25,1,0.746,4353
2.97,15,1,0.746,4353
0.5,5,0,0.746,4353
0,5,1,0.746,4353
8.27,55,0,0.722,4359
5.38,35,0,0.722,4359
5.01,25,0,0.722,4359
3.94,75,0,0.722,4359
3.58,15,0,0.722,4359
3.27,25,1,0.722,4359
3.1,75,1,0.722,4359
3.04,35,1,0.722,4359
2.9,55,1,0.722,4359
2.28,15,1,0.722,4359
0.89,5,1,0.722,4359
0,5,0,0.722,4359
134.29,35,0,0.786,4360
103.28,55,0,0.786,4360
86.52,75,0,0.786,4360
85.78,25,0,0.786,4360
61.17,15,0,0.786,4360
28.72,75,1,0.786,4360
21.3,55,1,0.786,4360
14.85,35,1,0.786,4360
11.56,25,1,0.786,4360
6.06,15,1,0.786,4360
1.66,5,0,0.786,4360
0.43,5,1,0.786,4360
124.9,75,0,0.773,4361
86.54,55,0,0.773,4361
83.69,35,0,0.773,4361
59.23,25,0,0.773,4361
46.9,15,0,0.773,4361
40.11,75,1,0.773,4361
17.65,35,1,0.773,4361
14.96,55,1,0.773,4361
7.24,15,1,0.773,4361
3.23,25,1,0.773,4361
2.02,5,0,0.773,4361
0,5,1,0.773,4361
71.17,25,0,0.634,4372
70.82,35,0,0.634,4372
63.32,55,0,0.634,4372
43.64,15,0,0.634,4372
38.67,15,1,0.634,4372
35.86,75,0,0.634,4372
14.49,35,1,0.634,4372
10.15,55,1,0.634,4372
5.75,25,1,0.634,4372
1.29,5,1,0.634,4372
1.22,5,0,0.634,4372
0,75,1,0.634,4372
3.74,35,1,0.65,4373
0,15,1,0.65,4373
0,25,1,0.65,4373
0,5,1,0.65,4373
0,55,1,0.65,4373
0,75,1,0.65,4373
0,15,0,0.65,4373
0,25,0,0.65,4373
0,35,0,0.65,4373
0,5,0,0.65,4373
0,55,0,0.65,4373
0,75,0,0.65,4373
0,15,1,0.741,4387
0,25,1,0.741,4387
0,35,1,0.741,4387
0,5,1,0.741,4387
0,55,1,0.741,4387
0,75,1,0.741,4387
0,15,0,0.741,4387
0,25,0,0.741,4387
0,35,0,0.741,4387
0,5,0,0.741,4387
0,55,0,0.741,4387
0,75,0,0.741,4387
18.63,75,0,0.715,4412
14.35,25,0,0.715,4412
12.75,35,0,0.715,4412
11.48,55,0,0.715,4412
8.51,15,0,0.715,4412
2.93,25,1,0.715,4412
2.47,15,1,0.715,4412
2.04,75,1,0.715,4412
1.66,35,1,0.715,4412
0.96,5,0,0.715,4412
0.25,5,1,0.715,4412
0,55,1,0.715,4412
39.74,35,0,0.755,4413
36.68,55,0,0.755,4413
31.3,75,0,0.755,4413
24.03,25,0,0.755,4413
17.17,15,0,0.755,4413
8.35,55,1,0.755,4413
6.6,35,1,0.755,4413
6.2,75,1,0.755,4413
3.19,25,1,0.755,4413
2.91,15,1,0.755,4413
1.64,5,0,0.755,4413
0.4,5,1,0.755,4413
29.98,25,0,0.694,4415
25.29,35,0,0.694,4415
23.15,55,0,0.694,4415
16.91,15,0,0.694,4415
11.05,15,1,0.694,4415
9.27,75,0,0.694,4415
6.37,25,1,0.694,4415
5.33,35,1,0.694,4415
4.55,55,1,0.694,4415
0,5,1,0.694,4415
0,75,1,0.694,4415
0,5,0,0.694,4415
79.37,75,0,0.689,4418
25.02,35,0,0.689,4418
23.1,25,0,0.689,4418
20.84,55,0,0.689,4418
12.33,25,1,0.689,4418
0,15,1,0.689,4418
0,35,1,0.689,4418
0,5,1,0.689,4418
0,55,1,0.689,4418
0,75,1,0.689,4418
0,15,0,0.689,4418
0,5,0,0.689,4418
176.26,75,0,0.731,4431
86.35,55,0,0.731,4431
82.78,35,0,0.731,4431
65.37,75,1,0.731,4431
46.13,25,0,0.731,4431
22.71,55,1,0.731,4431
20.56,35,1,0.731,4431
20.32,15,0,0.731,4431
8.89,25,1,0.731,4431
5.23,15,1,0.731,4431
1.05,5,0,0.731,4431
0.16,5,1,0.731,4431
115.05,75,0,0.764,4439
57.9,55,0,0.764,4439
39.82,35,0,0.764,4439
34.04,25,0,0.764,4439
29.72,15,0,0.764,4439
16.47,55,1,0.764,4439
14.63,75,1,0.764,4439
9.59,35,1,0.764,4439
6.77,15,1,0.764,4439
5.86,25,1,0.764,4439
1.12,5,1,0.764,4439
0.72,5,0,0.764,4439
32.77,25,0,0.654,4444
31.87,55,0,0.654,4444
29.58,35,0,0.654,4444
26.21,15,0,0.654,4444
12.64,25,1,0.654,4444
10.26,55,1,0.654,4444
8,15,1,0.654,4444
7.58,75,1,0.654,4444
5.1,35,1,0.654,4444
2.13,5,1,0.654,4444
0,5,0,0.654,4444
0,75,0,0.654,4444
41.01,55,0,0.667,4449
24.84,15,0,0.667,4449
20.66,35,0,0.667,4449
17.73,25,0,0.667,4449
13.14,55,1,0.667,4449
0,15,1,0.667,4449
0,25,1,0.667,4449
0,35,1,0.667,4449
0,5,1,0.667,4449
0,75,1,0.667,4449
0,5,0,0.667,4449
0,75,0,0.667,4449
95.23,75,0,0.77,4463
40.9,55,0,0.77,4463
30.95,35,0,0.77,4463
26.67,25,0,0.77,4463
22.12,15,0,0.77,4463
10.85,75,1,0.77,4463
10.21,55,1,0.77,4463
8.32,35,1,0.77,4463
6.93,15,1,0.77,4463
3.72,25,1,0.77,4463
1.45,5,0,0.77,4463
1.14,5,1,0.77,4463
7.13,15,0,0.639,4472
6.79,25,0,0.639,4472
6.72,35,0,0.639,4472
6.7,75,0,0.639,4472
5.96,55,0,0.639,4472
4.85,15,1,0.639,4472
1.79,75,1,0.639,4472
1.45,25,1,0.639,4472
1.31,35,1,0.639,4472
0.92,55,1,0.639,4472
0.68,5,1,0.639,4472
0.55,5,0,0.639,4472
15.68,75,0,0.671,4474
12.71,15,0,0.671,4474
10.98,25,0,0.671,4474
7.55,35,0,0.671,4474
5.99,55,0,0.671,4474
5.02,15,1,0.671,4474
3.61,25,1,0.671,4474
2.33,35,1,0.671,4474
2.03,55,1,0.671,4474
1.02,5,0,0.671,4474
0.91,5,1,0.671,4474
0,75,1,0.671,4474
20.19,75,0,0.722,4485
17.45,25,0,0.722,4485
17.06,35,0,0.722,4485
15.07,15,0,0.722,4485
13.98,55,0,0.722,4485
4.84,15,1,0.722,4485
2.58,25,1,0.722,4485
1.81,35,1,0.722,4485
1.43,55,1,0.722,4485
0.96,5,0,0.722,4485
0.25,5,1,0.722,4485
0,75,1,0.722,4485
16.86,55,0,0.71,4488
13.9,25,0,0.71,4488
12.49,15,0,0.71,4488
10.72,75,0,0.71,4488
10.06,35,0,0.71,4488
3.24,15,1,0.71,4488
3.08,75,1,0.71,4488
2.35,55,1,0.71,4488
2.33,35,1,0.71,4488
1.66,25,1,0.71,4488
0,5,1,0.71,4488
0,5,0,0.71,4488
21.1,75,0,0.616,4490
11.52,55,0,0.616,4490
9.12,35,0,0.616,4490
8.03,25,0,0.616,4490
5.22,15,0,0.616,4490
3.35,55,1,0.616,4490
3.24,75,1,0.616,4490
2.18,35,1,0.616,4490
2.09,25,1,0.616,4490
2.06,15,1,0.616,4490
0.23,5,0,0.616,4490
0.2,5,1,0.616,4490
18.78,75,0,0.67,4505
